time,flow_anomaly_7_day_min,location
UTC,7-day min flow anomaly,
1986-01-01T00:00:00Z,0.18370672,Sacramento San Joaquin
1987-01-01T00:00:00Z,-0.269615,Sacramento San Joaquin
1988-01-01T00:00:00Z,-0.5022772,Sacramento San Joaquin
1989-01-01T00:00:00Z,-0.56615674,Sacramento San Joaquin
1990-01-01T00:00:00Z,-0.45676893,Sacramento San Joaquin
1991-01-01T00:00:00Z,-0.67010283,Sacramento San Joaquin
1992-01-01T00:00:00Z,-0.55320346,Sacramento San Joaquin
1993-01-01T00:00:00Z,-0.35887846,Sacramento San Joaquin
1994-01-01T00:00:00Z,-0.516456,Sacramento San Joaquin
1995-01-01T00:00:00Z,-0.06868307,Sacramento San Joaquin
1996-01-01T00:00:00Z,0.5283964,Sacramento San Joaquin
1997-01-01T00:00:00Z,0.56179893,Sacramento San Joaquin
1998-01-01T00:00:00Z,0.9563139,Sacramento San Joaquin
1999-01-01T00:00:00Z,0.9940654,Sacramento San Joaquin
2000-01-01T00:00:00Z,0.5093917,Sacramento San Joaquin
2001-01-01T00:00:00Z,-0.09876914,Sacramento San Joaquin
2002-01-01T00:00:00Z,-0.14882931,Sacramento San Joaquin
2003-01-01T00:00:00Z,-0.10904166,Sacramento San Joaquin
2004-01-01T00:00:00Z,0.016991278,Sacramento San Joaquin
2005-01-01T00:00:00Z,0.12666403,Sacramento San Joaquin
2006-01-01T00:00:00Z,0.87395877,Sacramento San Joaquin
2007-01-01T00:00:00Z,-0.12958817,Sacramento San Joaquin
2008-01-01T00:00:00Z,-0.27067664,Sacramento San Joaquin
2009-01-01T00:00:00Z,-0.3161355,Sacramento San Joaquin
2010-01-01T00:00:00Z,-0.05710204,Sacramento San Joaquin
2011-01-01T00:00:00Z,0.81461364,Sacramento San Joaquin
2012-01-01T00:00:00Z,-0.0073583717,Sacramento San Joaquin
2013-01-01T00:00:00Z,-0.118778035,Sacramento San Joaquin
2014-01-01T00:00:00Z,-0.58846754,Sacramento San Joaquin
2015-01-01T00:00:00Z,-0.65568054,Sacramento San Joaquin
2016-01-01T00:00:00Z,-0.47257984,Sacramento San Joaquin
2017-01-01T00:00:00Z,0.14133863,Sacramento San Joaquin
2018-01-01T00:00:00Z,-0.081603475,Sacramento San Joaquin
2019-01-01T00:00:00Z,0.1646029,Sacramento San Joaquin
2020-01-01T00:00:00Z,-0.14796692,Sacramento San Joaquin
2021-01-01T00:00:00Z,-0.5659172,Sacramento San Joaquin
2022-01-01T00:00:00Z,-0.5416042,Sacramento San Joaquin
2023-01-01T00:00:00Z,-0.22544946,Sacramento San Joaquin
1981-01-01T00:00:00Z,0.20421979,Salish Sea & WA Coast
1982-01-01T00:00:00Z,0.7187564,Salish Sea & WA Coast
1983-01-01T00:00:00Z,1.576483,Salish Sea & WA Coast
1984-01-01T00:00:00Z,0.26219234,Salish Sea & WA Coast
1985-01-01T00:00:00Z,0.0534997,Salish Sea & WA Coast
1986-01-01T00:00:00Z,-0.24143055,Salish Sea & WA Coast
1987-01-01T00:00:00Z,-0.6272835,Salish Sea & WA Coast
1988-01-01T00:00:00Z,-1.1234595,Salish Sea & WA Coast
1989-01-01T00:00:00Z,-0.037545163,Salish Sea & WA Coast
1990-01-01T00:00:00Z,-0.26393643,Salish Sea & WA Coast
1991-01-01T00:00:00Z,0.9316775,Salish Sea & WA Coast
1992-01-01T00:00:00Z,-0.60077494,Salish Sea & WA Coast
1993-01-01T00:00:00Z,-0.32361972,Salish Sea & WA Coast
1994-01-01T00:00:00Z,-0.3513754,Salish Sea & WA Coast
1995-01-01T00:00:00Z,-0.5745105,Salish Sea & WA Coast
1996-01-01T00:00:00Z,0.6163515,Salish Sea & WA Coast
1997-01-01T00:00:00Z,1.4928365,Salish Sea & WA Coast
1998-01-01T00:00:00Z,-0.12909605,Salish Sea & WA Coast
1999-01-01T00:00:00Z,0.3141021,Salish Sea & WA Coast
2000-01-01T00:00:00Z,0.569566,Salish Sea & WA Coast
2001-01-01T00:00:00Z,0.38128656,Salish Sea & WA Coast
2002-01-01T00:00:00Z,-0.09000283,Salish Sea & WA Coast
2003-01-01T00:00:00Z,-1.0163194,Salish Sea & WA Coast
2004-01-01T00:00:00Z,0.07511587,Salish Sea & WA Coast
2005-01-01T00:00:00Z,-0.29914913,Salish Sea & WA Coast
2006-01-01T00:00:00Z,-0.26687273,Salish Sea & WA Coast
2007-01-01T00:00:00Z,-0.6631887,Salish Sea & WA Coast
2008-01-01T00:00:00Z,0.8963036,Salish Sea & WA Coast
2009-01-01T00:00:00Z,-0.064607844,Salish Sea & WA Coast
2010-01-01T00:00:00Z,-0.23640597,Salish Sea & WA Coast
2011-01-01T00:00:00Z,1.181918,Salish Sea & WA Coast
2012-01-01T00:00:00Z,0.47001046,Salish Sea & WA Coast
2013-01-01T00:00:00Z,-0.007026153,Salish Sea & WA Coast
2014-01-01T00:00:00Z,0.33841342,Salish Sea & WA Coast
2015-01-01T00:00:00Z,-0.55028343,Salish Sea & WA Coast
2016-01-01T00:00:00Z,-0.30631742,Salish Sea & WA Coast
2017-01-01T00:00:00Z,-0.2855913,Salish Sea & WA Coast
2018-01-01T00:00:00Z,-0.33695439,Salish Sea & WA Coast
2019-01-01T00:00:00Z,-0.5229765,Salish Sea & WA Coast
2020-01-01T00:00:00Z,-0.066297255,Salish Sea & WA Coast
2021-01-01T00:00:00Z,-0.23147738,Salish Sea & WA Coast
2022-01-01T00:00:00Z,-0.060335413,Salish Sea & WA Coast
2023-01-01T00:00:00Z,-0.84073395,Salish Sea & WA Coast
