time,SWE_anomaly,location
UTC,April 1 anomaly,
1979-01-01T00:00:00Z,-0.6145484,OR & N CA Coast
1980-01-01T00:00:00Z,-0.16471411,OR & N CA Coast
1981-01-01T00:00:00Z,-0.82577926,OR & N CA Coast
1982-01-01T00:00:00Z,0.456303,OR & N CA Coast
1983-01-01T00:00:00Z,1.9539517,OR & N CA Coast
1984-01-01T00:00:00Z,0.47874293,OR & N CA Coast
1985-01-01T00:00:00Z,0.82837915,OR & N CA Coast
1986-01-01T00:00:00Z,-0.2729816,OR & N CA Coast
1987-01-01T00:00:00Z,-0.19426596,OR & N CA Coast
1988-01-01T00:00:00Z,-0.95066375,OR & N CA Coast
1989-01-01T00:00:00Z,0.5185723,OR & N CA Coast
1990-01-01T00:00:00Z,-0.80027807,OR & N CA Coast
1991-01-01T00:00:00Z,-0.4444731,OR & N CA Coast
1992-01-01T00:00:00Z,-0.8095575,OR & N CA Coast
1993-01-01T00:00:00Z,0.53082156,OR & N CA Coast
1994-01-01T00:00:00Z,-0.8718626,OR & N CA Coast
1995-01-01T00:00:00Z,0.2568597,OR & N CA Coast
1996-01-01T00:00:00Z,-0.20231807,OR & N CA Coast
1997-01-01T00:00:00Z,-0.5647598,OR & N CA Coast
1998-01-01T00:00:00Z,0.7499897,OR & N CA Coast
1999-01-01T00:00:00Z,1.7460557,OR & N CA Coast
2000-01-01T00:00:00Z,0.330422,OR & N CA Coast
2001-01-01T00:00:00Z,-0.83853704,OR & N CA Coast
2002-01-01T00:00:00Z,0.2633053,OR & N CA Coast
2003-01-01T00:00:00Z,-0.5485731,OR & N CA Coast
2004-01-01T00:00:00Z,0.018711867,OR & N CA Coast
2005-01-01T00:00:00Z,-0.42825142,OR & N CA Coast
2006-01-01T00:00:00Z,1.3637165,OR & N CA Coast
2007-01-01T00:00:00Z,-0.67790395,OR & N CA Coast
2008-01-01T00:00:00Z,1.0687786,OR & N CA Coast
2009-01-01T00:00:00Z,-0.08398422,OR & N CA Coast
2010-01-01T00:00:00Z,-0.39586174,OR & N CA Coast
2011-01-01T00:00:00Z,1.1128561,OR & N CA Coast
2012-01-01T00:00:00Z,0.23379432,OR & N CA Coast
2013-01-01T00:00:00Z,-0.5990058,OR & N CA Coast
2014-01-01T00:00:00Z,-1.2037889,OR & N CA Coast
2015-01-01T00:00:00Z,-1.4021666,OR & N CA Coast
2016-01-01T00:00:00Z,0.066497095,OR & N CA Coast
2017-01-01T00:00:00Z,0.2393087,OR & N CA Coast
2018-01-01T00:00:00Z,-0.77615213,OR & N CA Coast
2019-01-01T00:00:00Z,0.8207832,OR & N CA Coast
2020-01-01T00:00:00Z,-0.6672893,OR & N CA Coast
2021-01-01T00:00:00Z,-0.29230353,OR & N CA Coast
2022-01-01T00:00:00Z,-1.1618403,OR & N CA Coast
2023-01-01T00:00:00Z,1.4288449,OR & N CA Coast
1910-01-01T00:00:00Z,-0.42372647,Sacramento San Joaquin
1911-01-01T00:00:00Z,1.727273,Sacramento San Joaquin
1912-01-01T00:00:00Z,-1.3070863,Sacramento San Joaquin
1913-01-01T00:00:00Z,-0.98180336,Sacramento San Joaquin
1914-01-01T00:00:00Z,1.3031795,Sacramento San Joaquin
1915-01-01T00:00:00Z,0.19584408,Sacramento San Joaquin
1916-01-01T00:00:00Z,0.5491776,Sacramento San Joaquin
1917-01-01T00:00:00Z,0.7190884,Sacramento San Joaquin
1918-01-01T00:00:00Z,0.09363261,Sacramento San Joaquin
1919-01-01T00:00:00Z,0.16564797,Sacramento San Joaquin
1920-01-01T00:00:00Z,-0.4546707,Sacramento San Joaquin
1921-01-01T00:00:00Z,0.50653,Sacramento San Joaquin
1922-01-01T00:00:00Z,1.1246041,Sacramento San Joaquin
1923-01-01T00:00:00Z,-0.025950052,Sacramento San Joaquin
1924-01-01T00:00:00Z,-1.268729,Sacramento San Joaquin
1925-01-01T00:00:00Z,-0.62257826,Sacramento San Joaquin
1926-01-01T00:00:00Z,-1.034251,Sacramento San Joaquin
1927-01-01T00:00:00Z,0.18379807,Sacramento San Joaquin
1928-01-01T00:00:00Z,-0.81720734,Sacramento San Joaquin
1929-01-01T00:00:00Z,-0.7411069,Sacramento San Joaquin
1930-01-01T00:00:00Z,-0.56862825,Sacramento San Joaquin
1931-01-01T00:00:00Z,-1.1994975,Sacramento San Joaquin
1932-01-01T00:00:00Z,0.459995,Sacramento San Joaquin
1933-01-01T00:00:00Z,-0.10989415,Sacramento San Joaquin
1934-01-01T00:00:00Z,-1.2943801,Sacramento San Joaquin
1935-01-01T00:00:00Z,0.32915086,Sacramento San Joaquin
1936-01-01T00:00:00Z,0.53198814,Sacramento San Joaquin
1937-01-01T00:00:00Z,0.82879245,Sacramento San Joaquin
1938-01-01T00:00:00Z,1.6067158,Sacramento San Joaquin
1939-01-01T00:00:00Z,-0.65282506,Sacramento San Joaquin
1940-01-01T00:00:00Z,-0.04170125,Sacramento San Joaquin
1941-01-01T00:00:00Z,0.87957925,Sacramento San Joaquin
1942-01-01T00:00:00Z,0.23637858,Sacramento San Joaquin
1943-01-01T00:00:00Z,0.17227249,Sacramento San Joaquin
1944-01-01T00:00:00Z,-0.29316708,Sacramento San Joaquin
1945-01-01T00:00:00Z,0.3203998,Sacramento San Joaquin
1946-01-01T00:00:00Z,0.2951928,Sacramento San Joaquin
1947-01-01T00:00:00Z,-0.7040297,Sacramento San Joaquin
1948-01-01T00:00:00Z,-0.54677606,Sacramento San Joaquin
1949-01-01T00:00:00Z,0.55344415,Sacramento San Joaquin
1950-01-01T00:00:00Z,0.050056472,Sacramento San Joaquin
1951-01-01T00:00:00Z,-0.58538616,Sacramento San Joaquin
1952-01-01T00:00:00Z,2.0130312,Sacramento San Joaquin
1953-01-01T00:00:00Z,-0.03703435,Sacramento San Joaquin
1954-01-01T00:00:00Z,-3.33E-4,Sacramento San Joaquin
1955-01-01T00:00:00Z,-0.5847481,Sacramento San Joaquin
1956-01-01T00:00:00Z,0.65416753,Sacramento San Joaquin
1957-01-01T00:00:00Z,-0.42029196,Sacramento San Joaquin
1958-01-01T00:00:00Z,1.339811,Sacramento San Joaquin
1959-01-01T00:00:00Z,-0.6614283,Sacramento San Joaquin
1960-01-01T00:00:00Z,-0.5818103,Sacramento San Joaquin
1961-01-01T00:00:00Z,-0.42683908,Sacramento San Joaquin
1962-01-01T00:00:00Z,0.9086073,Sacramento San Joaquin
1963-01-01T00:00:00Z,-0.93076605,Sacramento San Joaquin
1964-01-01T00:00:00Z,-0.63601726,Sacramento San Joaquin
1965-01-01T00:00:00Z,-0.17724034,Sacramento San Joaquin
1966-01-01T00:00:00Z,-0.1664538,Sacramento San Joaquin
1967-01-01T00:00:00Z,0.37069565,Sacramento San Joaquin
1968-01-01T00:00:00Z,-0.4927398,Sacramento San Joaquin
1969-01-01T00:00:00Z,2.122848,Sacramento San Joaquin
1970-01-01T00:00:00Z,-0.5086069,Sacramento San Joaquin
1971-01-01T00:00:00Z,0.17473495,Sacramento San Joaquin
1972-01-01T00:00:00Z,-0.54868644,Sacramento San Joaquin
1973-01-01T00:00:00Z,0.86929125,Sacramento San Joaquin
1974-01-01T00:00:00Z,0.47614413,Sacramento San Joaquin
1975-01-01T00:00:00Z,0.9609069,Sacramento San Joaquin
1976-01-01T00:00:00Z,-0.8226704,Sacramento San Joaquin
1977-01-01T00:00:00Z,-1.1292561,Sacramento San Joaquin
1978-01-01T00:00:00Z,0.9678117,Sacramento San Joaquin
1979-01-01T00:00:00Z,0.008220637,Sacramento San Joaquin
1980-01-01T00:00:00Z,0.63702035,Sacramento San Joaquin
1981-01-01T00:00:00Z,-0.48882088,Sacramento San Joaquin
1982-01-01T00:00:00Z,0.42953438,Sacramento San Joaquin
1983-01-01T00:00:00Z,2.0850186,Sacramento San Joaquin
1984-01-01T00:00:00Z,0.31961018,Sacramento San Joaquin
1985-01-01T00:00:00Z,0.26450136,Sacramento San Joaquin
1986-01-01T00:00:00Z,0.28928223,Sacramento San Joaquin
1987-01-01T00:00:00Z,-0.48529035,Sacramento San Joaquin
1988-01-01T00:00:00Z,-0.77423984,Sacramento San Joaquin
1989-01-01T00:00:00Z,-0.14026667,Sacramento San Joaquin
1990-01-01T00:00:00Z,-0.924656,Sacramento San Joaquin
1991-01-01T00:00:00Z,-0.3434679,Sacramento San Joaquin
1992-01-01T00:00:00Z,-0.42206192,Sacramento San Joaquin
1993-01-01T00:00:00Z,0.72631437,Sacramento San Joaquin
1994-01-01T00:00:00Z,-0.7243895,Sacramento San Joaquin
1995-01-01T00:00:00Z,1.1857531,Sacramento San Joaquin
1996-01-01T00:00:00Z,0.04328433,Sacramento San Joaquin
1997-01-01T00:00:00Z,-0.41686413,Sacramento San Joaquin
1998-01-01T00:00:00Z,1.1361405,Sacramento San Joaquin
1999-01-01T00:00:00Z,0.029858707,Sacramento San Joaquin
2000-01-01T00:00:00Z,-0.11170505,Sacramento San Joaquin
2001-01-01T00:00:00Z,-0.4729989,Sacramento San Joaquin
2002-01-01T00:00:00Z,-0.1217216,Sacramento San Joaquin
2003-01-01T00:00:00Z,-0.5542449,Sacramento San Joaquin
2004-01-01T00:00:00Z,-0.25269422,Sacramento San Joaquin
2005-01-01T00:00:00Z,1.0214577,Sacramento San Joaquin
2006-01-01T00:00:00Z,0.54757816,Sacramento San Joaquin
2007-01-01T00:00:00Z,-1.0071183,Sacramento San Joaquin
2008-01-01T00:00:00Z,0.050549753,Sacramento San Joaquin
2009-01-01T00:00:00Z,-0.18632555,Sacramento San Joaquin
2010-01-01T00:00:00Z,0.19629955,Sacramento San Joaquin
2011-01-01T00:00:00Z,1.1800675,Sacramento San Joaquin
2012-01-01T00:00:00Z,-0.80952156,Sacramento San Joaquin
2013-01-01T00:00:00Z,-0.9441024,Sacramento San Joaquin
2014-01-01T00:00:00Z,-1.1033782,Sacramento San Joaquin
2015-01-01T00:00:00Z,-1.6697116,Sacramento San Joaquin
