time,flow_anomaly_1_day_max,location
UTC,1-day max flow anomaly,
2010-01-01T00:00:00Z,-0.22847883,Columbia Unglaciated
2011-01-01T00:00:00Z,0.6118115,Columbia Unglaciated
2012-01-01T00:00:00Z,0.20083383,Columbia Unglaciated
2013-01-01T00:00:00Z,-0.3938206,Columbia Unglaciated
2014-01-01T00:00:00Z,-0.107564375,Columbia Unglaciated
2015-01-01T00:00:00Z,-0.41535714,Columbia Unglaciated
2016-01-01T00:00:00Z,-0.11611823,Columbia Unglaciated
2017-01-01T00:00:00Z,0.7476066,Columbia Unglaciated
2018-01-01T00:00:00Z,-0.24842125,Columbia Unglaciated
2019-01-01T00:00:00Z,0.4842978,Columbia Unglaciated
2020-01-01T00:00:00Z,0.05213463,Columbia Unglaciated
2021-01-01T00:00:00Z,-0.84768206,Columbia Unglaciated
2022-01-01T00:00:00Z,0.16261277,Columbia Unglaciated
2023-01-01T00:00:00Z,-0.3078175,Columbia Unglaciated
1981-01-01T00:00:00Z,-0.2712822,OR & N CA Coast
1982-01-01T00:00:00Z,1.6198399,OR & N CA Coast
1983-01-01T00:00:00Z,0.93721354,OR & N CA Coast
1984-01-01T00:00:00Z,-0.0044986834,OR & N CA Coast
1985-01-01T00:00:00Z,-0.36481988,OR & N CA Coast
1986-01-01T00:00:00Z,1.0957533,OR & N CA Coast
1987-01-01T00:00:00Z,-0.54109555,OR & N CA Coast
1988-01-01T00:00:00Z,-0.515387,OR & N CA Coast
1989-01-01T00:00:00Z,-0.3355102,OR & N CA Coast
1990-01-01T00:00:00Z,-0.39836958,OR & N CA Coast
1991-01-01T00:00:00Z,-0.61623454,OR & N CA Coast
1992-01-01T00:00:00Z,-0.76854986,OR & N CA Coast
1993-01-01T00:00:00Z,0.18370348,OR & N CA Coast
1994-01-01T00:00:00Z,-0.9669956,OR & N CA Coast
1995-01-01T00:00:00Z,0.8088926,OR & N CA Coast
1996-01-01T00:00:00Z,0.8158287,OR & N CA Coast
1997-01-01T00:00:00Z,1.7225468,OR & N CA Coast
1998-01-01T00:00:00Z,0.24586217,OR & N CA Coast
1999-01-01T00:00:00Z,0.47131366,OR & N CA Coast
2000-01-01T00:00:00Z,0.2627073,OR & N CA Coast
2001-01-01T00:00:00Z,-1.2174983,OR & N CA Coast
2002-01-01T00:00:00Z,-0.43162876,OR & N CA Coast
2003-01-01T00:00:00Z,-0.119371705,OR & N CA Coast
2004-01-01T00:00:00Z,-0.10891444,OR & N CA Coast
2005-01-01T00:00:00Z,-0.3743201,OR & N CA Coast
2006-01-01T00:00:00Z,1.1362765,OR & N CA Coast
2007-01-01T00:00:00Z,-0.11038635,OR & N CA Coast
2008-01-01T00:00:00Z,-0.07041419,OR & N CA Coast
2009-01-01T00:00:00Z,-0.11826246,OR & N CA Coast
2010-01-01T00:00:00Z,-0.574796,OR & N CA Coast
2011-01-01T00:00:00Z,0.039898753,OR & N CA Coast
2012-01-01T00:00:00Z,0.11391098,OR & N CA Coast
2013-01-01T00:00:00Z,0.0059358515,OR & N CA Coast
2014-01-01T00:00:00Z,-0.7798352,OR & N CA Coast
2015-01-01T00:00:00Z,-0.07502718,OR & N CA Coast
2016-01-01T00:00:00Z,0.26154613,OR & N CA Coast
2017-01-01T00:00:00Z,0.7139396,OR & N CA Coast
2018-01-01T00:00:00Z,-0.64480925,OR & N CA Coast
2019-01-01T00:00:00Z,0.38738263,OR & N CA Coast
2020-01-01T00:00:00Z,-0.7707958,OR & N CA Coast
2021-01-01T00:00:00Z,-0.59444374,OR & N CA Coast
2022-01-01T00:00:00Z,-0.43111426,OR & N CA Coast
2023-01-01T00:00:00Z,0.38174552,OR & N CA Coast
1981-01-01T00:00:00Z,-0.27524155,S CA Bight
1982-01-01T00:00:00Z,0.27563027,S CA Bight
1983-01-01T00:00:00Z,1.6185397,S CA Bight
1984-01-01T00:00:00Z,-0.19175807,S CA Bight
1985-01-01T00:00:00Z,-0.48227936,S CA Bight
1986-01-01T00:00:00Z,0.31715629,S CA Bight
1987-01-01T00:00:00Z,-0.45169255,S CA Bight
1988-01-01T00:00:00Z,-0.46197143,S CA Bight
1989-01-01T00:00:00Z,-0.60422444,S CA Bight
1990-01-01T00:00:00Z,-0.70727324,S CA Bight
1991-01-01T00:00:00Z,0.1686235,S CA Bight
1992-01-01T00:00:00Z,0.24400061,S CA Bight
1993-01-01T00:00:00Z,1.3668611,S CA Bight
1994-01-01T00:00:00Z,-0.458101,S CA Bight
1995-01-01T00:00:00Z,2.0423284,S CA Bight
1996-01-01T00:00:00Z,-0.16129301,S CA Bight
1997-01-01T00:00:00Z,0.076370046,S CA Bight
1998-01-01T00:00:00Z,1.5229837,S CA Bight
1999-01-01T00:00:00Z,-0.48684433,S CA Bight
2000-01-01T00:00:00Z,-0.1059559,S CA Bight
2001-01-01T00:00:00Z,0.2449121,S CA Bight
2002-01-01T00:00:00Z,-0.6351356,S CA Bight
2003-01-01T00:00:00Z,-0.33171356,S CA Bight
2004-01-01T00:00:00Z,-0.30375823,S CA Bight
2005-01-01T00:00:00Z,1.816178,S CA Bight
