"","ESU","name","trend","stderr","Species.x","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","col","shape"
"27","Ozette Lake Sockeye Salmon ESU",NA,NA,NA,NA,32,"Sockeye","Ozette Lake","Sockeye Salmon (Ozette Lake) ","T","PNW","NC","abs","T:Sockeye:Ozette Lake","#66A61E",19
"1","Baker River Sockeye",NA,NA,NA,NA,33,"Sockeye","Baker River","Sockeye Salmon (Baker River)","U","PNW","NC","abs","U:Sockeye:Baker River","#66A61E",1
"2","Big Bear Creek (provisional) Sockeye",NA,NA,NA,NA,34,"Sockeye","Big Bear Creek","Big Bear Creek (Lake Washington)","U","PNW","NC","abs","U:Sockeye:Big Bear Creek","#66A61E",1
"14","Lake Pleasant Sockeye",NA,NA,NA,NA,35,"Sockeye","Lake Pleasant","Sockeye Salmon (Lake Pleasant)","U","PNW","NC","abs","U:Sockeye:Lake Pleasant","#66A61E",1
"15","Lake Wenatchee Sockeye","Sockeye_Lake Wenatchee Sockeye",0.000395182459145297,0.000433372452793245,"Sockeye",36,"Sockeye","Lake Wenatchee","Sockeye Salmon (Lake Wenatchee)","U","PNW","NC","abs","U:Sockeye:Lake Wenatchee","#66A61E",1
"22","Okanogan River Sockeye","Sockeye_Okanogan River Sockeye",0.000395182459145297,0.000433372452793245,"Sockeye",37,"Sockeye","Okanogan River","Sockeye Salmon (Okanogan River)","U","PNW","NC","abs","U:Sockeye:Okanogan River","#66A61E",1
"33","Quinault Lake Sockeye",NA,NA,NA,NA,38,"Sockeye","Quinault Lake","Sockeye Salmon (Quinault Lake)","U","PNW","NC","abs","U:Sockeye:Quinault Lake","#66A61E",1
"45","Steelhead (Southern California Coast DPS)",NA,NA,NA,NA,39,"Steelhead","Southern California Coast","Steelhead (Southern California Coast DPS)","E","CA","CA","index","E:Steelhead:Southern California Coast","#E6AB02",19
"3","California Central Valley Steelhead",NA,NA,NA,NA,40,"Steelhead","California Central Valley","Steelhead (Central Valley DPS)","T","CA","CA","index","T:Steelhead:California Central Valley","#E6AB02",19
"6","Central California Coast steelhead",NA,NA,NA,NA,41,"Steelhead","Central California Coast","Steelhead (California Central Coast DPS)","T","CA","CA","index","T:Steelhead:Central California Coast","#E6AB02",19
"18","Lower Columbia River Steelhead DPS","Steelhead_Lower Columbia River Steelhead DPS",-0.00123273617142862,0.00073229599049467,"Steelhead",42,"Steelhead","Lower Columbia River","Steelhead (Lower Columbia River DPS) ","T","PNW","LC","index","T:Steelhead:Lower Columbia River","#E6AB02",19
"19","Middle Columbia River Steelhead DPS","Steelhead_Middle Columbia River Steelhead DPS",-0.00644827350427349,0.000808421804030563,"Steelhead",43,"Steelhead","Middle Columbia River","Steelhead (Middle Columbia River DPS) ","T","PNW","IC","abs","T:Steelhead:Middle Columbia River","#E6AB02",19
"20","Northern California steelhead",NA,NA,NA,NA,44,"Steelhead","Northern California","Steelhead (Northern California Coast DPS)","T","CA","CA","index","T:Steelhead:Northern California","#E6AB02",19
"30","Puget Sound Steelhead DPS","Steelhead_Puget Sound Steelhead DPS",-0.00304253048478631,0.000623300659284609,"Steelhead",45,"Steelhead","Puget Sound","Steelhead Salmon (Puget Sound) ","T","PNW","NC","index","T:Steelhead:Puget Sound","#E6AB02",19
"35","Snake River Basin Steelhead DPS","Steelhead_Snake River Basin Steelhead DPS",-0.000462051282051288,0.000682425705337101,"Steelhead",46,"Steelhead","Snake River Basin","Steelhead (Snake River Basin DPS) ","T","PNW","IC","abs","T:Steelhead:Snake River Basin","#E6AB02",19
"44","Steelhead (South-central California Coast DPS)",NA,NA,NA,NA,47,"Steelhead","South-central California Coast","Steelhead (South-central California Coast DPS)","T","CA","CA","index","T:Steelhead:South-central California Coast","#E6AB02",19
"49","Upper Columbia River Steelhead DPS","Steelhead_Upper Columbia River Steelhead DPS",-0.00604376068376067,0.000800982974764514,"Steelhead",48,"Steelhead","Upper Columbia River","Steelhead (Upper Columbia River DPS) ","T","PNW","IC","abs","T:Steelhead:Upper Columbia River","#E6AB02",19
"46","Steelhead Salmon (Upper Willamette River)",NA,NA,NA,NA,49,"Steelhead","Upper Willamette River","Steelhead (Upper Willamette River) ","T","PNW","LC","abs","T:Steelhead:Upper Willamette River","#E6AB02",19
"42","Steelhead (Klamath Mountains Province)",NA,NA,NA,NA,50,"Steelhead","Klamath Mountains Province","Steelhead (Klamath Mountains Province)","U","PNW","NC","index","U:Steelhead:Klamath Mountains Province","#E6AB02",1
"24","Olympic Peninsula Steelhead","Steelhead_Olympic Peninsula Steelhead",-0.00449178204641024,0.00161363915871739,"Steelhead",51,"Steelhead","Olympic Peninsula","Steelhead (Olympic Peninsula)","U","PNW","NC","index","U:Steelhead:Olympic Peninsula","#E6AB02",1
"43","Steelhead (Oregon Coast)",NA,NA,NA,NA,52,"Steelhead","Oregon Coast","Steelhead (Oregon Coast)","U","PNW","NC","abs","U:Steelhead:Oregon Coast","#E6AB02",1
"41","Southwest Washington Steelhead",NA,NA,NA,NA,53,"Steelhead","Southwest Washington","Steelhead (Southwest Washington)","U","PNW","NC","abs","U:Steelhead:Southwest Washington","#E6AB02",1
