"","name","trend","Species","ESU","pop"
"45","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run",-0.00407573022143629,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run"
"46","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run",-0.0657836331863406,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run"
"47","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright",0.0188859898638762,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright"
"48","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run",0.027773565140446,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run"
"49","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run",0.0252946984735762,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run"
"50","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run",0.0452781075145039,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run"
"51","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run",-0.0884091926512256,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run"
"52","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run",-0.0501028801657829,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run"
"53","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright",-0.00017364688913854,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright"
"54","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run",-0.0445912429000373,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run"
