"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"39","Methow Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",3650.42924316481,2297.75577217797,3196.45016752875,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"40","Okanogan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",4740.46104225991,2370.23052112995,4023.99900596392,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"41","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",2978.27532757503,1489.13766378751,4023.99900596392,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"42","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",781.672084520588,303.428991653941,773.323340298759,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"43","Wenatchee Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",9555.97106285772,7875.83445057489,9098.90900478594,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"44","Yakima River Bright Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",994.903535251905,NA,951.882981149466,2010,2014,"Upper Columbia River Summer and Fall Run Chinook"
"45","Big White Salmon River Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",3382.99812457314,983.914835313978,3487.64216579787,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"46","Hanford Reach Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",93600.9328154066,NA,92678.3307226138,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"47","Klickitat Fall (Tule) Chinook-","Upper Columbia River Summer and Fall Run Chinook",132.096192741324,NA,NA,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"48","Klickitat Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",2142.10697824213,NA,1427.02220843681,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"49","Lake Chelan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",26.1238852544669,NA,NA,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"50","Methow Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",2973.38860051863,2108.85046220943,2843.88269370146,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"51","Okanogan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",4114.7374164542,2057.3687082271,4033.99900842807,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"52","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",4098.58586545097,2049.29293272549,4033.99900842807,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"53","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",1507.34341634891,626.281724155049,1396.39913343451,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"54","Wenatchee Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",4803.64574816023,4073.45791997785,4268.23797239067,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
"55","Yakima River Bright Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",840.166479188846,NA,793.310591132309,2015,2019,"Upper Columbia River Summer and Fall Run Chinook"
