,name,run
120,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - South Fork Salmon River Mainstem,early
121,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Sulphur Creek,early
122,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Tucannon River,early
123,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Valley Creek,early
124,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Wenaha River,early
125,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Yankee Fork,early
126,Chinook_Southern Oregon Northern California Chinook salmon_Blue Creek (Klamath) fall Chinook,late
127,Chinook_Southern Oregon Northern California Chinook salmon_Chetco fall Chinook,late
128,Chinook_Southern Oregon Northern California Chinook salmon_Hunter fall Chinook,late
129,Chinook_Southern Oregon Northern California Chinook salmon_lower Rogue fall Chinook,late
130,Chinook_Southern Oregon Northern California Chinook salmon_Pistol fall Chinook,late
131,Chinook_Southern Oregon Northern California Chinook salmon_Rogue fall Chinook,late
132,Chinook_Southern Oregon Northern California Chinook salmon_Rogue spring Chinook,early
133,Chinook_Southern Oregon Northern California Chinook salmon_Winchuck fall Chinook,late
134,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_boguscrk.chinook.fall,late
135,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_salmonriv.chinook.spring,early
136,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_scottriv.chinook.fall,late
137,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_shastariv.chinook.fall,late
138,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_southforktrinity.chinook.fall,late
139,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_upperklamath.chinook.fall,late
140,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_uppertrinity.chinook.fall,late
141,Chinook_Up. Klamath - Trinity River Chinook_klamathriv_uppertrinity.chinook.spring,early
142,Chinook_Upper Columbia River Spring-run Chinook Salmon ESU_Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River,early
143,Chinook_Upper Columbia River Spring-run Chinook Salmon ESU_Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River,early
144,Chinook_Upper Columbia River Spring-run Chinook Salmon ESU_Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,early
145,Chinook_Upper Columbia River Summer and Fall Run Chinook_Big White Salmon River Late Fall (Bright) Chinook-,late
146,Chinook_Upper Columbia River Summer and Fall Run Chinook_Hanford Reach Fall Chinook-,late
147,Chinook_Upper Columbia River Summer and Fall Run Chinook_Klickitat Fall (Tule) Chinook-,late
148,Chinook_Upper Columbia River Summer and Fall Run Chinook_Klickitat Late Fall (Bright) Chinook-,late
149,Chinook_Upper Columbia River Summer and Fall Run Chinook_Lake Chelan Summer Chinook-,early
150,Chinook_Upper Columbia River Summer and Fall Run Chinook_Methow Summer Chinook-,early
151,Chinook_Upper Columbia River Summer and Fall Run Chinook_Okanogan Summer Chinook-,early
152,Chinook_Upper Columbia River Summer and Fall Run Chinook_Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook,late
153,Chinook_Upper Columbia River Summer and Fall Run Chinook_Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook,late
154,Chinook_Upper Columbia River Summer and Fall Run Chinook_Wenatchee Summer Chinook-,early
155,Chinook_Upper Columbia River Summer and Fall Run Chinook_Yakima River Bright Fall Chinook-,late
156,Chinook_Upper Willamette River Chinook Salmon ESU_Salmon (Chinook (Upper Willamette River ESU) - Willamette Falls esc,early
157,Chinook_Washington Coast Chinook_Bear River Fall Chinook-,late
158,Chinook_Washington Coast Chinook_Calawah Fall Chinook-,late
159,Chinook_Washington Coast Chinook_Calawah Summer Chinook-,early
160,Chinook_Washington Coast Chinook_Chehalis Fall Chinook-,late
161,Chinook_Washington Coast Chinook_Chehalis Spring Chinook-,early
162,Chinook_Washington Coast Chinook_Clearwater Fall Chinook-,late
163,Chinook_Washington Coast Chinook_Clearwater Spring/Summer Chinook-,early
164,Chinook_Washington Coast Chinook_Cook Creek Fall Chinook-,late
165,Chinook_Washington Coast Chinook_Dickey Fall Chinook-,late
166,Chinook_Washington Coast Chinook_Hoh Fall Chinook-,late
167,Chinook_Washington Coast Chinook_Hoh Spring/Summer Chinook-,early
168,Chinook_Washington Coast Chinook_Hoko Fall Chinook-,late
169,Chinook_Washington Coast Chinook_Hoquiam Fall Chinook-,late
170,Chinook_Washington Coast Chinook_Humptulips Fall Chinook-,late
171,Chinook_Washington Coast Chinook_Naselle Fall Chinook-,late
172,Chinook_Washington Coast Chinook_Nemah Fall Chinook-,late
173,Chinook_Washington Coast Chinook_North River/Smith Creek Fall Chinook-,late
174,Chinook_Washington Coast Chinook_Palix Fall Chinook-,late
175,Chinook_Washington Coast Chinook_Queets Fall Chinook-,late
176,Chinook_Washington Coast Chinook_Queets Spring/Summer Chinook-,early
177,Chinook_Washington Coast Chinook_Quillayute/Bogachiel Fall Chinook-,late
178,Chinook_Washington Coast Chinook_Quillayute/Bogachiel Summer Chinook-,early
179,Chinook_Washington Coast Chinook_Quinault Fall Chinook-,late
180,Chinook_Washington Coast Chinook_Quinault Spring/Summer Chinook-,early
181,Chinook_Washington Coast Chinook_Satsop Fall Chinook-,late
182,Chinook_Washington Coast Chinook_Satsop Summer Chinook-,early
183,Chinook_Washington Coast Chinook_Sol Duc Fall Chinook-,late
184,Chinook_Washington Coast Chinook_Sol Duc Summer Chinook-,early
185,Chinook_Washington Coast Chinook_Willapa Fall Chinook-,late
186,Chinook_Washington Coast Chinook_Wishkah Fall Chinook-,late
187,Chinook_Washington Coast Chinook_Wynoochee Fall Chinook-,late
