"","ESU","name","trend","stderr","Species.x","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","col","shape"
"11","Deschutes River Summer-Fall-run Chinook Salmon","Chinook_Deschutes River Summer-Fall-run Chinook Salmon",0.00747869575518385,0.005375509015683,"Chinook",11,"Chinook","Deschutes River Summer-Fall Run","Chinook Salmon (Deschutes River)","U","PNW","IC","abs","U:Chinook:Deschutes River Summer-Fall Run","#1B9E77",1
"9","Chinook Salmon (Mid-Columbia River Spring-Run)","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)",0.0192361906089845,0.0175170454483066,"Chinook",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run","#1B9E77",1
"25","Oregon Coast Chinook salmon","Chinook_Oregon Coast Chinook salmon",-0.0139647976488799,0.0110044855821829,"Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast","#1B9E77",1
"40","Southern Oregon Northern California Chinook salmon","Chinook_Southern Oregon Northern California Chinook salmon",-0.0234404084267213,0.01107279317979,"Chinook",14,"Chinook","Southern Oregon Northern California","Chinook Salmon (Southern Oregon Northern California Coast)","U","PNW","NC","abs","U:Chinook:Southern Oregon Northern California","#1B9E77",1
"47","Up. Klamath - Trinity River Chinook","Chinook_Up. Klamath - Trinity River Chinook",-0.0272059110108854,0.0127032254802208,"Chinook",15,"Chinook","Up. Klamath - Trinity River","Chinook Salmon (Upper Klamath and Trinity Rivers)","U","CA","CA","abs","U:Chinook:Up. Klamath - Trinity River","#1B9E77",1
"50","Upper Columbia River Summer and Fall Run Chinook","Chinook_Upper Columbia River Summer and Fall Run Chinook",0.022087713214369,0.00954666566364893,"Chinook",16,"Chinook","Upper Columbia River Summer and Fall Run","Chinook Salmon (Upper-Columbia River Summer-fall-Run)","U","PNW","IC","abs","U:Chinook:Upper Columbia River Summer and Fall Run","#1B9E77",1
"52","Washington Coast Chinook","Chinook_Washington Coast Chinook",-0.00135945989684942,0.00459727464875532,"Chinook",17,"Chinook","Washington Coast","Chinook Salmon (Washington Coast)","U","PNW","NC","abs","U:Chinook:Washington Coast","#1B9E77",1
"10","Columbia River Chum Salmon ESU","Chum_Columbia River Chum Salmon ESU",0.0335680761059439,0.011301638296388,"Chum",18,"Chum","Columbia River","Chum Salmon (Columbia River ESU) ","T","PNW","LC","abs","T:Chum:Columbia River","#D95F02",19
"13","Hood Canal Summer-run Chum Salmon ESU","Chum_Hood Canal Summer-run Chum Salmon ESU",0.0504384630984715,0.0153303733826289,"Chum",19,"Chum","Hood Canal Summer Run","Chum Salmon (Hood Canal ESU) ","T","PNW","NC","abs","T:Chum:Hood Canal Summer Run","#D95F02",19
"28","Pacific Coast Chum","Chum_Pacific Coast Chum",0.0190105941715968,0.0123099360354146,"Chum",20,"Chum","Pacific Coast","Chum Salmon (Pacific Coast)","U","PNW","NC","index","U:Chum:Pacific Coast","#D95F02",1
"31","Puget Sound-Strait of Georgia Chum","Chum_Puget Sound-Strait of Georgia Chum",-0.0377617670958737,0.013056308678818,"Chum",21,"Chum","Puget Sound-Strait of Georgia","Chum Salmon (Puget Sound Strait of Georgia)","U","PNW","NC","abs","U:Chum:Puget Sound-Strait of Georgia","#D95F02",1
"5","Central California Coast coho salmon","Coho_Central California Coast coho salmon",-0.0169028761457564,0.0213441995678757,"Coho",22,"Coho","Central California Coast","Coho Salmon (Central California Coast ESU)","E","CA","CA","index","E:Coho:Central California Coast","#7570B3",19
"17","Lower Columbia River Coho Salmon ESU","Coho_Lower Columbia River Coho Salmon ESU",0.00467599345338196,0.0154616002557496,"Coho",23,"Coho","Lower Columbia River","Coho Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Coho:Lower Columbia River","#7570B3",19
"26","Oregon Coast Coho Salmon ESU","Coho_Oregon Coast Coho Salmon ESU",0.0168638794443792,0.0172199084002228,"Coho",24,"Coho","Oregon Coast","Coho Salmon (Oregon Coast) ","T","PNW","NC","abs","T:Coho:Oregon Coast","#7570B3",19
"39","So Oregon - Northern CA coho","Coho_So Oregon - Northern CA coho",0.0118696749763534,0.0151139437304903,"Coho",25,"Coho","Southern Oregon Northern California","Coho Salmon (Southern Oregon Northern California Coast ESU)","T","PNW","NC","index","T:Coho:Southern Oregon Northern California","#7570B3",19
"23","Olympic Peninsula Coho","Coho_Olympic Peninsula Coho",-0.0228866495949322,0.0133574964567265,"Coho",26,"Coho","Olympic Peninsula","Coho Salmon (Olympic Peninula)","U","PNW","NC","abs","U:Coho:Olympic Peninsula","#7570B3",1
"32","Puget Sound-Strait of Georgia Coho","Coho_Puget Sound-Strait of Georgia Coho",-0.0341826811332703,0.0123486954264832,"Coho",27,"Coho","Puget Sound and Strait of Georgia","Coho Salmon (Puget Sound and Strait of Georgia)","U","PNW","NC","abs","U:Coho:Puget Sound and Strait of Georgia","#7570B3",1
"53","Washington Coast Coho","Coho_Washington Coast Coho",-0.00689789504325981,0.0143197241022088,"Coho",28,"Coho","Washington Coast","Coho Salmon (Washington Coast)","U","PNW","NC","abs","U:Coho:Washington Coast","#7570B3",1
"12","Even-year Pink",NA,NA,NA,NA,29,"Pink","Even Year","Pink Salmon (Washington Even-year)","U","PNW","NC","index","U:Pink:Even Year","#E7298A",1
"21","Odd-year Pink","Pink_Odd-year Pink",0.0283977642912098,0.0335833664987185,"Pink",30,"Pink","Odd Year","Pink Salmon (Washington Odd-year)","U","PNW","NC","abs","U:Pink:Odd Year","#E7298A",1
