,name,trend,Species,ESU,pop,run
47,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright,0.01888599,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright,late
48,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run,0.027773565,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run,late
49,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,0.025294698,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,late
50,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run,0.045278108,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run,late
51,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run,-0.088409193,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run,late
52,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run,-0.05010288,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run,early
53,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright,-0.000173647,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright,late
54,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run,-0.044591243,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run,late
55,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run,0.166554846,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run,late
56,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run,0.039650187,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run,late
