"","name","ESU","trend","Species.x","pop","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","shape","col","pos","X","run","shape_run"
"50","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run","Lower Columbia River Chinook Salmon ESU",0.0452781075145039,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,50,"late",1
"51","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run","Lower Columbia River Chinook Salmon ESU",-0.0884091926512256,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,51,"late",1
"52","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run","Lower Columbia River Chinook Salmon ESU",-0.0501028801657829,"Chinook","Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,52,"early",19
"53","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright","Lower Columbia River Chinook Salmon ESU",-0.00017364688913854,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,53,"late",1
"54","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run","Lower Columbia River Chinook Salmon ESU",-0.0445912429000373,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,54,"late",1
"55","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run","Lower Columbia River Chinook Salmon ESU",0.166554845990464,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,55,"late",1
"56","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run","Lower Columbia River Chinook Salmon ESU",0.0396501874056789,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,56,"late",1
"57","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run","Lower Columbia River Chinook Salmon ESU",-0.0271636647526941,"Chinook","Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",0,57,"late",1
"58","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - White Salmon River Fall-run","Lower Columbia River Chinook Salmon ESU",0.0351182577110082,"Chinook","Chinook Salmon (Lower Columbia River ESU) - White Salmon River Fall-run",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River",19,"#1B9E77",1,58,"late",1
"59","Chinook_Oregon Coast Chinook salmon_Alsea fall Chinook","Oregon Coast Chinook salmon",0.00255070314061469,"Chinook","Alsea fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",1,59,"late",1
